ORDERNUMBER,PRODUCTCODE,CUSTOMERNAME,ORDERDATE,STATUS,DEALSIZE,QUANTITYORDERED,PRICEEACH,SALES
10119,S10_4757,Salzburg Collectables,28/04/2018,Shipped,Medium,46,108.8,5004.8
10129,S10_4757,"Stylish Desk Decors, Co.",12/6/2018,Shipped,Medium,33,133.28,4398.24
10143,S10_4757,Mini Creations Ltd.,10/8/2018,Shipped,Medium,49,114.24,5597.76
10155,S10_4757,"Toys of Finland, Co.",6/10/2018,Shipped,Medium,32,141.44,4526.08
10167,S10_4757,Scandinavian Gift Ideas,23/10/2018,Cancelled,Medium,44,134.64,5924.16
10178,S10_4757,Alpha Cognac,8/11/2018,Shipped,Medium,24,145.52,3492.48
10186,S10_4757,"Double Decker Gift Stores, Ltd",14/11/2018,Shipped,Medium,26,148.24,3854.24
10197,S10_4757,Enaco Distributors,26/11/2018,Shipped,Medium,45,118.32,5324.4
10222,S10_4757,Collectable Mini Designs Co.,19/02/2019,Shipped,Medium,49,122.4,5997.6
10248,S10_4757,Land of Toys Inc.,7/5/2019,Cancelled,Small,20,145.52,2910.4
10261,S10_4757,Quebec Home Shopping Network,17/06/2019,Shipped,Medium,27,125.12,3378.24
10273,S10_4757,Petit Auto,21/07/2019,Shipped,Medium,30,116.96,3508.8
10283,S10_4757,"Royal Canadian Collectables, Ltd.",20/08/2019,Shipped,Small,25,119.68,2992
10295,S10_4757,Gifts4AllAges.com,10/9/2019,Shipped,Medium,24,142.8,3427.2
10307,S10_4757,"Classic Gift Ideas, Inc",14/10/2019,Shipped,Small,22,122.4,2692.8
10316,S10_4757,giftsbymail.co.uk,1/11/2019,Shipped,Medium,33,125.12,4128.96
10325,S10_4757,Baane Mini Imports,5/11/2019,Shipped,Medium,47,64.93,3051.71
10337,S10_4757,Classic Legends Inc.,21/11/2019,Shipped,Small,25,48.05,1201.25
10350,S10_4757,Euro Shopping Channel,2/12/2019,Shipped,Small,26,75.47,1962.22
10359,S10_4757,Reims Collectables,15/12/2019,Shipped,Small,48,54.68,2624.64
10373,S10_4757,"Oulu Toy Supplies, Inc.",31/01/2020,Shipped,Medium,39,103.75,4046.25
10395,S10_4757,Lyon Souveniers,17/03/2020,Shipped,Medium,32,105.33,3370.56
10400,S10_4757,The Sharp Gifts Warehouse,1/4/2020,Shipped,Large,64,150.96,9661.44
10414,S10_4757,Gifts4AllAges.com,6/5/2020,On Hold,Small,19,145.52,2764.88
10103,S10_4962,Baane Mini Imports,29/01/2018,Shipped,Medium,42,128.53,5398.26
10114,S10_4962,"La Corne D'abondance, Co.",1/4/2018,Shipped,Medium,31,138.88,4305.28
10126,S10_4962,"Corrida Auto Replicas, Ltd",28/05/2018,Shipped,Medium,22,152.17,3347.74
10140,S10_4962,Technics Stores Inc.,24/07/2018,Shipped,Medium,26,122.62,3188.12
10150,S10_4962,"Dragon Souveniers, Ltd.",19/09/2018,Shipped,Medium,20,159.56,3191.2
10164,S10_4962,Mini Auto Werke,21/10/2018,Resolved,Medium,21,168.42,3536.82
10175,S10_4962,"Stylish Desk Decors, Co.",6/11/2018,Shipped,Medium,33,162.51,5362.83
10183,S10_4962,"Classic Gift Ideas, Inc",13/11/2018,Shipped,Medium,28,122.62,3433.36
10194,S10_4962,"Saveley & Henriot, Co.",25/11/2018,Shipped,Medium,26,163.99,4263.74
10207,S10_4962,Diecast Collectables,9/12/2018,Shipped,Medium,31,131.49,4076.19
10217,S10_4962,Handji Gifts& Co,4/2/2019,Shipped,Large,48,146.26,7020.48
10229,S10_4962,Mini Gifts Distributors Ltd.,11/3/2019,Shipped,Medium,50,128.53,6426.5
10245,S10_4962,Super Scale Inc.,4/5/2019,Shipped,Medium,28,163.99,4591.72
10259,S10_4962,Handji Gifts& Co,15/06/2019,Shipped,Medium,26,155.13,4033.38
10270,S10_4962,Souveniers And Things Co.,19/07/2019,Shipped,Medium,32,134.44,4302.08
10281,S10_4962,Diecast Classics Inc.,19/08/2019,Shipped,Large,44,159.56,7020.64
10291,S10_4962,Scandinavian Gift Ideas,8/9/2019,Shipped,Medium,30,128.53,3855.9
10305,S10_4962,Marta's Replicas Co.,13/10/2019,Shipped,Medium,38,175.81,6680.78
10313,S10_4962,Canadian Gift Exchange Network,22/10/2019,Shipped,Medium,40,166.95,6678
10322,S10_4962,Online Diecast Creations Co.,4/11/2019,Shipped,Small,46,61.99,2851.54
10334,S10_4962,"Volvo Model Replicas, Co",19/11/2019,On Hold,Medium,26,122.62,3188.12
10347,S10_4962,"Australian Collectors, Co.",29/11/2019,Shipped,Medium,27,164,4428
10357,S10_4962,Mini Gifts Distributors Ltd.,10/12/2019,Shipped,Medium,43,134.44,5780.92
10370,S10_4962,"Anna's Decorations, Ltd",20/01/2020,Shipped,Small,35,65.63,2297.05
10391,S10_4962,"Anna's Decorations, Ltd",9/3/2020,Shipped,Small,37,46.9,1735.3
10411,S10_4962,Quebec Home Shopping Network,1/5/2020,Shipped,Medium,27,163.99,4427.73
10425,S10_4962,La Rochelle Gifts,31/05/2020,In Process,Medium,38,155.13,5894.94
10108,S12_1099,Cruz & Sons Co.,3/3/2018,Shipped,Medium,33,159.55,5265.15
10122,S12_1099,Marseille Mini Autos,8/5/2018,Shipped,Large,42,180.95,7599.9
10135,S12_1099,Mini Gifts Distributors Ltd.,2/7/2018,Shipped,Large,42,190.68,8008.56
10147,S12_1099,Collectables For Less Inc.,5/9/2018,Shipped,Large,48,192.62,9245.76
10169,S12_1099,"Anna's Decorations, Ltd",4/11/2018,Shipped,Medium,30,167.33,5019.9
10181,S12_1099,Herkku Gifts,12/11/2018,Shipped,Medium,27,200.41,5411.07
10191,S12_1099,"Toms Spezialitten, Ltd",20/11/2018,Shipped,Medium,21,182.9,3840.9
10203,S12_1099,Euro Shopping Channel,2/12/2018,Shipped,Medium,20,196.52,3930.4
10211,S12_1099,Auto Canal Petit,15/01/2019,Shipped,Large,41,182.9,7498.9
10225,S12_1099,"Vida Sport, Ltd",22/02/2019,Shipped,Medium,27,167.33,4517.91
10238,S12_1099,Danish Wholesale Imports,9/4/2019,Shipped,Medium,28,206.24,5774.72
10253,S12_1099,"UK Collectables, Ltd.",1/6/2019,Cancelled,Medium,24,163.44,3922.56
10266,S12_1099,L'ordine Souveniers,6/7/2019,Shipped,Large,44,208.19,9160.36
10276,S12_1099,Online Mini Collectables,2/8/2019,Shipped,Large,50,192.62,9631
10287,S12_1099,"Vida Sport, Ltd",30/08/2019,Shipped,Medium,21,163.44,3432.24
10300,S12_1099,"Blauer See Auto, Co.",4/10/2018,Shipped,Medium,33,167.33,5521.89
10310,S12_1099,"Toms Spezialitten, Ltd",16/10/2019,Shipped,Medium,33,210.14,6934.62
10320,S12_1099,"Volvo Model Replicas, Co",3/11/2019,Shipped,Medium,31,221.81,6876.11
10329,S12_1099,Land of Toys Inc.,15/11/2019,Shipped,Small,41,71.47,2930.27
10341,S12_1099,Salzburg Collectables,24/11/2019,Shipped,Medium,45,79.65,3584.25
10363,S12_1099,Suominen Souveniers,6/1/2020,Shipped,Small,33,85.39,2817.87
10375,S12_1099,La Rochelle Gifts,3/2/2020,Shipped,Medium,45,76,3420
10389,S12_1099,Scandinavian Gift Ideas,3/3/2020,Shipped,Small,26,99.04,2575.04
10419,S12_1099,Salzburg Collectables,17/05/2020,Shipped,Small,12,163.44,1961.28
10105,S12_1108,Danish Wholesale Imports,11/2/2018,Shipped,Large,41,211.96,8690.36
10117,S12_1108,"Dragon Souveniers, Ltd.",16/04/2018,Shipped,Medium,33,182.86,6034.38
10127,S12_1108,Muscle Machine Inc,3/6/2018,Shipped,Large,46,245.2,11279.2
10142,S12_1108,Mini Gifts Distributors Ltd.,8/8/2018,Shipped,Large,33,243.13,8023.29
10153,S12_1108,Euro Shopping Channel,28/09/2018,Shipped,Medium,20,245.2,4904
10165,S12_1108,"Dragon Souveniers, Ltd.",22/10/2018,Shipped,Large,44,195.33,8594.52
10176,S12_1108,L'ordine Souveniers,6/11/2018,Shipped,Large,33,226.5,7474.5
10185,S12_1108,Mini Creations Ltd.,14/11/2018,Shipped,Medium,21,184.94,3883.74
10196,S12_1108,Super Scale Inc.,26/11/2018,Shipped,Large,47,189.1,8887.7
10208,S12_1108,"Saveley & Henriot, Co.",2/1/2019,Shipped,Large,46,187.02,8602.92
10220,S12_1108,"Clover Collections, Co.",12/2/2019,Shipped,Large,32,224.42,7181.44
10231,S12_1108,CAF Imports,19/03/2019,Shipped,Large,42,199.49,8378.58
10247,S12_1108,Suominen Souveniers,5/5/2019,Shipped,Large,44,241.05,10606.2
10272,S12_1108,Diecast Classics Inc.,20/07/2019,Shipped,Medium,35,166.24,5818.4
10282,S12_1108,Mini Gifts Distributors Ltd.,20/08/2019,Shipped,Large,41,172.47,7071.27
10293,S12_1108,Amica Models & Co.,9/9/2019,Shipped,Large,46,182.86,8411.56
10306,S12_1108,"AV Stores, Co.",14/10/2019,Shipped,Medium,31,211.96,6570.76
10314,S12_1108,Heintze Collectables,22/10/2019,Shipped,Large,38,209.88,7975.44
10325,S12_1108,Baane Mini Imports,5/11/2019,Shipped,Small,42,64,2688
10336,S12_1108,"La Corne D'abondance, Co.",20/11/2019,Shipped,Small,33,57.22,1888.26
10348,S12_1108,"Corrida Auto Replicas, Ltd",1/11/2019,Shipped,Small,48,52.36,2513.28
10359,S12_1108,Reims Collectables,15/12/2019,Shipped,Medium,42,113.44,4764.48
10371,S12_1108,Mini Gifts Distributors Ltd.,23/01/2020,Shipped,Medium,32,111.27,3560.64
10382,S12_1108,Mini Gifts Distributors Ltd.,17/02/2020,Shipped,Medium,34,112.46,3823.64
10395,S12_1108,Lyon Souveniers,17/03/2020,Shipped,Small,33,69.12,2280.96
10413,S12_1108,Gift Depot Inc.,5/5/2020,Shipped,Large,36,241.05,8677.8
10103,S12_1666,Baane Mini Imports,29/01/2018,Shipped,Medium,27,125.74,3394.98
10113,S12_1666,Mini Gifts Distributors Ltd.,26/03/2018,Shipped,Medium,21,162.64,3415.44
10126,S12_1666,"Corrida Auto Replicas, Ltd",28/05/2018,Shipped,Small,21,116.17,2439.57
10140,S12_1666,Technics Stores Inc.,24/07/2018,Shipped,Medium,38,127.1,4829.8
10150,S12_1666,"Dragon Souveniers, Ltd.",19/09/2018,Shipped,Medium,30,136.67,4100.1
10164,S12_1666,Mini Auto Werke,21/10/2018,Resolved,Medium,49,133.94,6563.06
10174,S12_1666,"Australian Gift Network, Co",6/11/2018,Shipped,Medium,43,158.54,6817.22
10183,S12_1666,"Classic Gift Ideas, Inc",13/11/2018,Shipped,Medium,41,150.34,6163.94
10194,S12_1666,"Saveley & Henriot, Co.",25/11/2018,Shipped,Medium,38,129.84,4933.92
10206,S12_1666,Canadian Gift Exchange Network,5/12/2018,Shipped,Medium,28,144.87,4056.36
10216,S12_1666,Auto Assoc. & Cie.,2/2/2019,Shipped,Medium,43,133.94,5759.42
10229,S12_1666,Mini Gifts Distributors Ltd.,11/3/2019,Shipped,Medium,25,138.04,3451
10245,S12_1666,Super Scale Inc.,4/5/2019,Shipped,Medium,38,155.8,5920.4
10258,S12_1666,"Tokyo Collectables, Ltd",15/06/2019,Shipped,Medium,41,162.64,6668.24
10270,S12_1666,Souveniers And Things Co.,19/07/2019,Shipped,Medium,28,146.24,4094.72
10281,S12_1666,Diecast Classics Inc.,19/08/2019,Shipped,Small,25,117.54,2938.5
10291,S12_1666,Scandinavian Gift Ideas,8/9/2019,Shipped,Medium,41,155.8,6387.8
10304,S12_1666,Auto Assoc. & Cie.,11/10/2019,Shipped,Medium,39,164,6396
10313,S12_1666,Canadian Gift Exchange Network,22/10/2019,Shipped,Small,21,127.1,2669.1
10322,S12_1666,Online Diecast Creations Co.,4/11/2019,Shipped,Medium,27,177.19,4784.13
10347,S12_1666,"Australian Collectors, Co.",29/11/2019,Shipped,Medium,29,123.67,3586.43
10357,S12_1666,Mini Gifts Distributors Ltd.,10/12/2019,Shipped,Medium,49,121.64,5960.36
10370,S12_1666,"Anna's Decorations, Ltd",20/01/2020,Shipped,Large,49,172.86,8470.14
10391,S12_1666,"Anna's Decorations, Ltd",9/3/2020,Shipped,Small,39,63.2,2464.8
10411,S12_1666,Quebec Home Shopping Network,1/5/2020,Shipped,Medium,40,155.8,6232
10424,S12_1666,Euro Shopping Channel,31/05/2020,In Process,Large,49,162.64,7969.36
10107,S12_2823,Land of Toys Inc.,24/02/2018,Shipped,Medium,21,144.6,3036.6
10121,S12_2823,Reims Collectables,7/5/2018,Shipped,Large,50,165.68,8284
10134,S12_2823,Lyon Souveniers,1/7/2018,Shipped,Small,20,135.56,2711.2
10145,S12_2823,Toys4GrownUps.com,25/08/2018,Shipped,Large,49,170.2,8339.8
10169,S12_2823,"Anna's Decorations, Ltd",4/11/2018,Shipped,Medium,35,132.55,4639.25
10180,S12_2823,Daedalus Designs Imports,11/11/2018,Shipped,Medium,40,168.69,6747.6
10189,S12_2823,Toys4GrownUps.com,18/11/2018,Shipped,Medium,28,161.16,4512.48
10211,S12_2823,Auto Canal Petit,15/01/2019,Shipped,Medium,36,132.55,4771.8
10224,S12_2823,Daedalus Designs Imports,21/02/2019,Shipped,Medium,43,141.58,6087.94
10237,S12_2823,Vitachrome Inc.,5/4/2019,Shipped,Medium,32,131.04,4193.28
10251,S12_2823,Tekni Collectables Inc.,18/05/2019,Shipped,Large,46,164.18,7552.28
10263,S12_2823,Gift Depot Inc.,28/06/2019,Shipped,Medium,48,134.05,6434.4
10276,S12_2823,Online Mini Collectables,2/8/2019,Shipped,Medium,43,120.5,5181.5
10285,S12_2823,Marta's Replicas Co.,27/08/2019,Shipped,Medium,49,140.08,6863.92
10299,S12_2823,"Toys of Finland, Co.",30/09/2019,Shipped,Medium,24,173.21,4157.04
10309,S12_2823,Baane Mini Imports,15/10/2019,Shipped,Medium,26,179.24,4660.24
10319,S12_2823,Microscale Inc.,3/11/2019,Shipped,Medium,30,137.06,4111.8
10329,S12_2823,Land of Toys Inc.,15/11/2019,Shipped,Medium,24,147.61,3542.64
10341,S12_2823,Salzburg Collectables,24/11/2019,Shipped,Large,55,147.61,8118.55
10362,S12_2823,Technics Stores Inc.,5/1/2020,Shipped,Medium,22,176.23,3877.06
10375,S12_2823,La Rochelle Gifts,3/2/2020,Shipped,Medium,49,78.92,3867.08
10388,S12_2823,FunGiftIdeas.com,3/3/2020,Shipped,Medium,44,135.26,5951.44
10403,S12_2823,"UK Collectables, Ltd.",8/4/2020,Shipped,Large,66,131.04,8648.64
10417,S12_2823,Euro Shopping Channel,13/05/2020,Disputed,Medium,21,164.18,3447.78
10104,S12_3148,Euro Shopping Channel,31/01/2018,Shipped,Medium,34,175.25,5958.5
10117,S12_3148,"Dragon Souveniers, Ltd.",16/04/2018,Shipped,Medium,43,137.48,5911.64
10127,S12_3148,Muscle Machine Inc,3/6/2018,Shipped,Large,46,160.14,7366.44
10142,S12_3148,Mini Gifts Distributors Ltd.,8/8/2018,Shipped,Medium,33,151.08,4985.64
10153,S12_3148,Euro Shopping Channel,28/09/2018,Shipped,Medium,42,128.42,5393.64
10165,S12_3148,"Dragon Souveniers, Ltd.",22/10/2018,Shipped,Medium,34,143.53,4880.02
10176,S12_3148,L'ordine Souveniers,6/11/2018,Shipped,Large,47,178.27,8378.69
10185,S12_3148,Mini Creations Ltd.,14/11/2018,Shipped,Medium,33,122.37,4038.21
10196,S12_3148,Super Scale Inc.,26/11/2018,Shipped,Medium,24,158.63,3807.12
10208,S12_3148,"Saveley & Henriot, Co.",2/1/2019,Shipped,Medium,26,120.86,3142.36
10220,S12_3148,"Clover Collections, Co.",12/2/2019,Shipped,Medium,30,157.12,4713.6
10230,S12_3148,"Blauer See Auto, Co.",15/03/2019,Shipped,Large,43,163.17,7016.31
10247,S12_3148,Suominen Souveniers,5/5/2019,Shipped,Medium,25,175.25,4381.25
10272,S12_3148,Diecast Classics Inc.,20/07/2019,Shipped,Medium,27,158.63,4283.01
10282,S12_3148,Mini Gifts Distributors Ltd.,20/08/2019,Shipped,Medium,27,161.66,4364.82
10293,S12_3148,Amica Models & Co.,9/9/2019,Shipped,Medium,24,176.76,4242.24
10306,S12_3148,"AV Stores, Co.",14/10/2019,Shipped,Medium,34,146.55,4982.7
10314,S12_3148,Heintze Collectables,22/10/2019,Shipped,Medium,46,138.99,6393.54
10324,S12_3148,Vitachrome Inc.,5/11/2019,Shipped,Small,27,54.33,1466.91
10336,S12_3148,"La Corne D'abondance, Co.",20/11/2019,Shipped,Medium,33,123.01,4059.33
10348,S12_3148,"Corrida Auto Replicas, Ltd",1/11/2019,Shipped,Medium,47,102.16,4801.52
10358,S12_3148,Euro Shopping Channel,10/12/2019,Shipped,Small,49,55.34,2711.66
10372,S12_3148,"Tokyo Collectables, Ltd",26/01/2020,Shipped,Medium,40,146.55,5862
10382,S12_3148,Mini Gifts Distributors Ltd.,17/02/2020,Shipped,Medium,37,110.05,4071.85
10413,S12_3148,Gift Depot Inc.,5/5/2020,Shipped,Large,47,175.25,8236.75
10108,S12_3380,Cruz & Sons Co.,3/3/2018,Shipped,Medium,45,136.23,6130.35
10122,S12_3380,Marseille Mini Autos,8/5/2018,Shipped,Medium,37,99.82,3693.34
10135,S12_3380,Mini Gifts Distributors Ltd.,2/7/2018,Shipped,Medium,48,125.66,6031.68
10147,S12_3380,Collectables For Less Inc.,5/9/2018,Shipped,Medium,31,112.74,3494.94
10170,S12_3380,Mini Auto Werke,4/11/2018,Shipped,Medium,47,116.27,5464.69
10181,S12_3380,Herkku Gifts,12/11/2018,Shipped,Small,28,102.17,2860.76
10191,S12_3380,"Toms Spezialitten, Ltd",20/11/2018,Shipped,Medium,40,139.75,5590
10203,S12_3380,Euro Shopping Channel,2/12/2018,Shipped,Small,20,112.74,2254.8
10212,S12_3380,Euro Shopping Channel,16/01/2019,Shipped,Medium,39,126.84,4946.76
10225,S12_3380,"Vida Sport, Ltd",22/02/2019,Shipped,Small,25,99.82,2495.5
10238,S12_3380,Danish Wholesale Imports,9/4/2019,Shipped,Medium,29,109.22,3167.38
10253,S12_3380,"UK Collectables, Ltd.",1/6/2019,Cancelled,Small,22,109.22,2402.84
10266,S12_3380,L'ordine Souveniers,6/7/2019,Shipped,Small,22,111.57,2454.54
