CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY
"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain
"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore
Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA
"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA
"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada
West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA
Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA
Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA
"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan
Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden
Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA
Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA
Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA
"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia
Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada
Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan
Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA
Atelier graphique,40.32.2555,"54, rue Royale",Nantes,44000,France
Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA
Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark
"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK
Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA
Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France
"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK
Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,8022,Spain
Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,91217,USA
Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium
"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada
Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA
giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK
"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland
The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA
"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France
Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria
Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,51003,USA
Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore
Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines
Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France
"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland
L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy
Online Mini Collectables,6175557555,7635 Spinnaker Dr.,Brickhaven,58339,USA
"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland
Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA
"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland
CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,28023,Spain
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark
Microscale Inc.,2125551957,5290 North Pendale Street,NYC,10022,USA
Boards & Toys Co.,3105552373,4097 Douglas Av.,Glendale,92561,USA
"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain
Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,94217,USA
Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,67000,France
Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA
"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway
Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia
Gift Ideas Corp.,2035554407,2440 Pompton St.,Glendale,97561,USA
"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,Munich,80686,Germany
Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium
Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,Brickhaven,58339,USA
